iter	RMSE
0	20.17944342
1	19.73517534
2	19.14838748
3	18.77137631
4	18.24357912
5	17.8119499
6	17.35293377
7	16.93574155
8	16.62928933
9	16.18839044
10	15.78457399
11	15.51588886
12	15.14472744
13	14.71635007
14	14.34298378
15	14.08231951
16	13.79777457
17	13.56116995
18	13.33171344
19	13.01918109
20	12.8135122
21	12.5245057
22	12.30075524
23	12.0788705
24	11.81476517
25	11.58708207
26	11.3424215
27	11.10672872
28	10.93411982
29	10.75382881
30	10.59075819
31	10.37800683
32	10.22536812
33	10.02064906
34	9.831355125
35	9.646271453
36	9.543584641
37	9.377528924
38	9.242737236
39	9.037247338
40	8.927657361
41	8.735271417
42	8.595956887
43	8.447780098
44	8.30273516
45	8.130074014
46	8.039239381
47	7.882238403
48	7.753955394
49	7.671179372
50	7.607355184
51	7.487892695
52	7.389642944
53	7.2919769
54	7.213907825
55	7.117571179
56	7.078449877
57	6.989107474
58	6.881373116
59	6.733139385
60	6.63615235
61	6.563522115
62	6.491316994
63	6.439686645
64	6.337592027
65	6.264647741
66	6.205347302
67	6.120704114
68	6.053856585
69	5.989770175
70	5.891658028
71	5.85983945
72	5.796488275
73	5.731427213
74	5.673162443
75	5.58300307
76	5.50995406
77	5.454589755
78	5.396031456
79	5.338389151
80	5.292209145
81	5.240576766
82	5.20687737
83	5.152878368
84	5.123104139
85	5.048320711
86	5.006189303
87	4.948656949
88	4.893389896
89	4.839138637
90	4.793367588
91	4.72992427
92	4.662195222
93	4.618912482
94	4.570223079
95	4.518834082
96	4.475966224
97	4.427184842
98	4.401521846
99	4.354496483
100	4.31421727
101	4.286259614
102	4.24836541
103	4.212688112
104	4.167265377
105	4.115082463
106	4.065022945
107	4.027618835
108	3.996393329
109	3.950899193
110	3.900171117
111	3.846181625
112	3.820497684
113	3.799740355
114	3.761731905
115	3.73023739
116	3.712410186
117	3.680873373
118	3.649518336
119	3.632339644
120	3.595099241
121	3.562931456
122	3.545724084
123	3.500451004
124	3.475377848
125	3.438474476
126	3.391595589
127	3.362429685
128	3.317011963
129	3.297064976
130	3.26142548
131	3.247682199
132	3.219021859
133	3.188175311
134	3.141267605
135	3.118973255
136	3.104965217
137	3.080390582
138	3.062967431
139	3.031985946
140	3.01962463
141	2.99179255
142	2.9741852
143	2.93856771
144	2.912446177
145	2.881536367
146	2.857317075
147	2.836970005
148	2.809550023
149	2.773274535
150	2.755053489
151	2.730804495
152	2.704910757
153	2.688888473
154	2.663717367
155	2.651897426
156	2.614120247
157	2.586393912
158	2.569676952
159	2.552006146
160	2.536164975
161	2.520900404
162	2.491997377
163	2.468585993
164	2.451175156
165	2.43045547
166	2.414785087
167	2.404447871
168	2.389865069
169	2.369973876
170	2.35769173
171	2.334369185
172	2.325535361
173	2.309336012
174	2.285399848
175	2.272375381
176	2.258723425
177	2.243653315
178	2.229999001
179	2.211875034
180	2.198803049
181	2.187213882
182	2.164800779
183	2.149393776
184	2.137605362
185	2.120483049
186	2.101988674
187	2.084620684
188	2.07125545
189	2.049223063
190	2.033283953
191	2.020813945
192	2.010921785
193	1.990875422
194	1.978073992
195	1.961466163
196	1.949478281
197	1.938665577
198	1.927389502
199	1.913634751
