iter	Passed	Remaining
0	16	3243
1	29	2901
2	41	2732
3	54	2656
4	66	2603
5	81	2633
6	94	2603
7	107	2570
8	119	2525
9	131	2496
10	144	2480
11	163	2560
12	180	2603
13	193	2577
14	207	2553
15	220	2530
16	234	2520
17	246	2492
18	259	2471
19	272	2448
20	284	2422
21	296	2400
22	310	2386
23	324	2377
24	338	2368
25	351	2352
26	363	2330
27	376	2311
28	390	2300
29	403	2286
30	416	2269
31	429	2253
32	442	2241
33	458	2236
34	470	2219
35	483	2200
36	497	2190
37	509	2173
38	522	2158
39	535	2141
40	548	2125
41	560	2109
42	573	2094
43	585	2077
44	600	2067
45	613	2054
46	626	2037
47	638	2022
48	651	2008
49	665	1995
50	677	1979
51	691	1967
52	704	1953
53	717	1941
54	733	1932
55	745	1916
56	758	1901
57	771	1889
58	784	1874
59	796	1859
60	809	1844
61	822	1829
62	834	1814
63	847	1799
64	859	1784
65	874	1774
66	887	1760
67	901	1750
68	917	1741
69	929	1726
70	942	1712
71	955	1697
72	968	1684
73	980	1670
74	994	1658
75	1010	1648
76	1022	1633
77	1035	1619
78	1048	1605
79	1060	1591
80	1073	1577
81	1086	1562
82	1099	1549
83	1114	1539
84	1127	1525
85	1140	1511
86	1153	1497
87	1166	1484
88	1179	1470
89	1191	1456
90	1204	1442
91	1219	1431
92	1232	1417
93	1244	1403
94	1258	1391
95	1272	1378
96	1284	1363
97	1298	1351
98	1310	1337
99	1323	1323
100	1335	1308
101	1347	1294
102	1363	1284
103	1378	1272
104	1391	1258
105	1403	1245
106	1417	1231
107	1432	1220
108	1448	1209
109	1463	1197
110	1476	1183
111	1489	1170
112	1502	1156
113	1515	1143
114	1528	1129
115	1540	1115
116	1552	1101
117	1565	1087
118	1580	1075
119	1592	1061
120	1605	1048
121	1618	1034
122	1631	1021
123	1643	1007
124	1657	994
125	1669	980
126	1682	966
127	1694	953
128	1707	939
129	1722	927
130	1734	913
131	1747	900
132	1760	886
133	1772	873
134	1784	859
135	1797	846
136	1810	832
137	1824	819
138	1837	806
139	1850	792
140	1863	779
141	1878	767
142	1891	753
143	1904	740
144	1917	727
145	1929	713
146	1942	700
147	1954	686
148	1967	673
149	1979	659
150	1986	644
151	1999	631
152	2014	618
153	2044	610
154	2056	597
155	2069	583
156	2082	570
157	2095	556
158	2107	543
159	2121	530
160	2134	516
161	2149	504
162	2161	490
163	2177	477
164	2195	465
165	2207	452
166	2220	438
167	2233	425
168	2246	412
169	2258	398
170	2270	385
171	2284	371
172	2298	358
173	2310	345
174	2323	331
175	2336	318
176	2348	305
177	2362	292
178	2375	278
179	2388	265
180	2401	252
181	2414	238
182	2428	225
183	2440	212
184	2453	198
185	2465	185
186	2478	172
187	2490	158
188	2503	145
189	2516	132
190	2529	119
191	2542	105
192	2557	92
193	2572	79
194	2584	66
195	2597	53
196	2609	39
197	2622	26
198	2634	13
199	2646	0
